,id,name,type,rarity,event,group,standard,new
genji-im-not-impressed,genji-im-not-impressed,I'm Not Impressed,voicelines,common,ANNIVERSARY_2017,,False,False
genji-you-seem-nice,genji-you-seem-nice,You seem nice,voicelines,common,ANNIVERSARY_2017,,False,False
genji-touche,genji-touche,Touché,voicelines,common,SUMMER_GAMES,,False,True
genji-happy-halloween,genji-happy-halloween,Happy Halloween,voicelines,common,HALLOWEEN,,False,True
genji-genji,genji-genji,Genji,icons,,,,False,False
genji-god-of-war,genji-god-of-war,God of War,icons,,,,False,False
genji-nin,genji-nin,Nin,icons,,,,False,False
genji-oni,genji-oni,Oni,icons,,,,False,False
genji-fencing,genji-fencing,Fencing,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
genji-cyborg,genji-cyborg,Cyborg,icons,,UPRISING_2017,,False,False
genji-goldborg,genji-goldborg,Goldborg,icons,,ANNIVERSARY_2017,,False,False
genji-heroic,genji-heroic,Heroic,emotes,common,,,True,False
genji-amusing,genji-amusing,Amusing,emotes,epic,,,False,False
genji-challenge,genji-challenge,Challenge,emotes,epic,,,False,False
genji-cutting-edge,genji-cutting-edge,Cutting Edge,emotes,epic,,,False,False
genji-meditate,genji-meditate,Meditate,emotes,epic,,,False,False
genji-salute,genji-salute,Salute,emotes,epic,,,False,False
genji-dance,genji-dance,Dance,emotes,epic,ANNIVERSARY_2017,,False,False
genji-classic,genji-classic,Classic,skins,common,,,True,False
genji-azurite,genji-azurite,Azurite,skins,rare,,,False,False
genji-cinnabar,genji-cinnabar,Cinnabar,skins,rare,,,False,False
genji-malachite,genji-malachite,Malachite,skins,rare,,,False,False
genji-ochre,genji-ochre,Ochre,skins,rare,,,False,False
genji-carbon-fiber,genji-carbon-fiber,Carbon Fiber,skins,epic,,,False,False
genji-chrome,genji-chrome,Chrome,skins,epic,,,False,False
genji-nihon,genji-nihon,Nihon,skins,epic,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
genji-bedouin,genji-bedouin,Bedouin,skins,legendary,,,False,False
genji-nomad,genji-nomad,Nomad,skins,legendary,,,False,False
genji-oni,genji-oni,Oni,skins,legendary,,,False,False
genji-sparrow,genji-sparrow,Sparrow,skins,legendary,,,False,False
genji-young-genji,genji-young-genji,Young Genji,skins,legendary,,,False,False
genji-blackwatch,genji-blackwatch,Blackwatch,skins,legendary,UPRISING_2017,,False,False
genji-sentai,genji-sentai,Sentai,skins,legendary,ANNIVERSARY_2017,,False,False
genji-assassin,genji-assassin,Assassin,sprays,common,,,False,False
genji-dragon,genji-dragon,Dragon,sprays,common,,,False,False
genji-dragonblade,genji-dragonblade,Dragonblade,sprays,common,,,False,False
genji-draw,genji-draw,Draw,sprays,common,,,False,False
genji-fully-loaded,genji-fully-loaded,Fully Loaded,sprays,common,,,False,False
genji-god-of-war,genji-god-of-war,God of War,sprays,common,,,False,False
genji-green-ninja,genji-green-ninja,Green Ninja,sprays,common,,,False,False
genji-icon,genji-icon,Icon,sprays,common,,,False,False
genji-kaze-no-gotoku,genji-kaze-no-gotoku,Kaze no Gotoku,sprays,common,,,False,False
genji-lunge,genji-lunge,Lunge,sprays,common,,,False,False
genji-nin,genji-nin,Nin,sprays,common,,,False,False
genji-oni,genji-oni,Oni,sprays,common,,,False,False
genji-onmyodo,genji-onmyodo,Onmyodo,sprays,common,,,False,False
genji-prepared,genji-prepared,Prepared,sprays,common,,,False,False
genji-ryugekiken,genji-ryugekiken,Ryugekiken,sprays,common,,,False,False
genji-shimada,genji-shimada,Shimada,sprays,common,,,False,False
genji-shuriken,genji-shuriken,Shuriken,sprays,common,,,False,False
genji-signature,genji-signature,Signature,sprays,common,,,False,False
genji-soul,genji-soul,Soul,sprays,common,,,False,False
genji-stance,genji-stance,Stance,sprays,common,,,False,False
genji-stoic,genji-stoic,Stoic,sprays,common,,,False,False
genji-swords,genji-swords,Swords,sprays,common,,,False,False
genji-target-practice,genji-target-practice,Target Practice,sprays,common,,,False,False
genji-warrior,genji-warrior,Warrior,sprays,common,,,False,False
genji-fencing,genji-fencing,Fencing,sprays,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
genji-trick-or-treat,genji-trick-or-treat,Trick or Treat,sprays,common,HALLOWEEN,HALLOWEEN_2016,False,False
genji-kadomatsu,genji-kadomatsu,Kadomatsu,sprays,common,WINTER_WONDERLAND_2016,,False,False
genji-ornament,genji-ornament,Ornament,sprays,common,WINTER_WONDERLAND_2016,,False,False
genji-dragon-dance,genji-dragon-dance,Dragon Dance,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
genji-green-dragon,genji-green-dragon,Green Dragon,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
genji-ramen,genji-ramen,Ramen,sprays,common,UPRISING_2017,,False,False
genji-jack-of-clubs,genji-jack-of-clubs,Jack of Clubs,sprays,common,ANNIVERSARY_2017,,False,False
genji-cute,genji-cute,Cute,sprays,common,,,False,False
genji-pixel,genji-pixel,Pixel,sprays,common,,,False,False
genji-heroic,genji-heroic,Heroic,intros,common,,,True,False
genji-shuriken,genji-shuriken,Shuriken,intros,epic,,,False,False
genji-unsheathing-the-sword,genji-unsheathing-the-sword,Unsheathing the Sword,intros,epic,,,False,False
genji-warriors-salute,genji-warriors-salute,Warrior's Salute,intros,epic,,,False,False
genji-pumpkin-carving,genji-pumpkin-carving,Pumpkin Carving,intros,epic,HALLOWEEN,HALLOWEEN_2016,False,False
genji-heroic,genji-heroic,Heroic,poses,common,,,True,False
genji-kneeling,genji-kneeling,Kneeling,poses,rare,,,False,False
genji-shuriken,genji-shuriken,Shuriken,poses,rare,,,False,False
genji-sword-stance,genji-sword-stance,Sword stance,poses,rare,,,False,False
genji-rip,genji-rip,R.I.P.,poses,rare,HALLOWEEN,HALLOWEEN_2016,False,False
genji-meditate,genji-meditate,Meditate,poses,rare,UPRISING_2017,,False,False
reinhardt-i-salute-you,reinhardt-i-salute-you,I salute you,voicelines,common,,,True,False
reinhardt-are-you-afraid,reinhardt-are-you-afraid,Are you afraid?,voicelines,common,,,False,False
reinhardt-bring-me-another,reinhardt-bring-me-another,Bring me another,voicelines,common,,,False,False
reinhardt-catch-phrase,reinhardt-catch-phrase,Catch phrase!,voicelines,common,,,False,False
reinhardt-crusader-online,reinhardt-crusader-online,Crusader online,voicelines,common,,,False,False
reinhardt-crushing-machine,reinhardt-crushing-machine,Crushing machine,voicelines,common,,,False,False
reinhardt-german-engineering,reinhardt-german-engineering,German engineering,voicelines,common,,,False,False
reinhardt-honor-and-glory,reinhardt-honor-and-glory,Honor and glory,voicelines,common,,,False,False
reinhardt-respect-your-elders,reinhardt-respect-your-elders,Respect your elders,voicelines,common,,,False,False
reinhardt-show-you-how-its-done,reinhardt-show-you-how-its-done,Show you how it's done,voicelines,common,,,False,False
reinhardt-this-old-dog,reinhardt-this-old-dog,This old dog,voicelines,common,,,False,False
reinhardt-100-german-power,reinhardt-100-german-power,100% German power,voicelines,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
reinhardt-smashing,reinhardt-smashing,Smashing,voicelines,common,HALLOWEEN,HALLOWEEN_2016,False,False
reinhardt-youre-on-my-naughty-list,reinhardt-youre-on-my-naughty-list,You're on my naughty list,voicelines,common,WINTER_WONDERLAND_2016,,False,False
reinhardt-are-you-chicken,reinhardt-are-you-chicken,Are you chicken?,voicelines,common,YEAR_OF_THE_ROOSTER_2017,,False,False
reinhardt-easy-does-it,reinhardt-easy-does-it,Easy does it,voicelines,common,UPRISING_2017,,False,False
reinhardt-unstoppable,reinhardt-unstoppable,Unstoppable,voicelines,common,UPRISING_2017,,False,False
reinhardt-beer,reinhardt-beer,Beer!,voicelines,common,ANNIVERSARY_2017,,False,False
reinhardt-honor-justice-reinhardt,reinhardt-honor-justice-reinhardt,Honor! Justice! Reinhardt!,voicelines,common,ANNIVERSARY_2017,,False,False
reinhardt-glittering-prizes,reinhardt-glittering-prizes,Glittering prizes!,voicelines,common,SUMMER_GAMES,,False,True
reinhardt-what-do-we-have-here,reinhardt-what-do-we-have-here,What do we have here?,voicelines,common,HALLOWEEN,,False,True
reinhardt-lionhardt,reinhardt-lionhardt,Lionhardt,icons,,,,False,False
reinhardt-reinhardt,reinhardt-reinhardt,Reinhardt,icons,,,,False,False
reinhardt-scar,reinhardt-scar,Scar,icons,,,,False,False
reinhardt-wrestling,reinhardt-wrestling,Wrestling,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
reinhardt-sandy,reinhardt-sandy,Sandy,icons,,YEAR_OF_THE_ROOSTER_2017,,False,False
reinhardt-lieutenant,reinhardt-lieutenant,Lieutenant,icons,,UPRISING_2017,,False,False
reinhardt-goldhardt,reinhardt-goldhardt,Goldhardt,icons,,ANNIVERSARY_2017,,False,False
reinhardt-heroic,reinhardt-heroic,Heroic,emotes,common,,,True,False
reinhardt-flex,reinhardt-flex,Flex,emotes,epic,,,False,False
reinhardt-kneel,reinhardt-kneel,Kneel,emotes,epic,,,False,False
reinhardt-taunt,reinhardt-taunt,Taunt,emotes,epic,,,False,False
reinhardt-uproarious,reinhardt-uproarious,Uproarious,emotes,epic,,,False,False
reinhardt-warriors-salute,reinhardt-warriors-salute,Warrior's Salute,emotes,epic,,,False,False
reinhardt-pumpkin-smash,reinhardt-pumpkin-smash,Pumpkin Smash,emotes,epic,HALLOWEEN,HALLOWEEN_2016,False,False
reinhardt-sweethardt,reinhardt-sweethardt,Sweethardt,emotes,epic,ANNIVERSARY_2017,,False,False
reinhardt-classic,reinhardt-classic,Classic,skins,common,,,True,False
reinhardt-brass,reinhardt-brass,Brass,skins,rare,,,False,False
reinhardt-cobalt,reinhardt-cobalt,Cobalt,skins,rare,,,False,False
reinhardt-copper,reinhardt-copper,Copper,skins,rare,,,False,False
reinhardt-viridian,reinhardt-viridian,Viridian,skins,rare,,,False,False
reinhardt-bundeswehr,reinhardt-bundeswehr,Bundeswehr,skins,epic,,,False,False
reinhardt-paragon,reinhardt-paragon,Paragon,skins,epic,,,False,False
reinhardt-coldhardt,reinhardt-coldhardt,Coldhardt,skins,epic,HALLOWEEN,HALLOWEEN_2016,False,False
reinhardt-lieutenant-wilhelm,reinhardt-lieutenant-wilhelm,Lieutenant Wilhelm,skins,epic,UPRISING_2017,,False,False
reinhardt-balderich,reinhardt-balderich,Balderich,skins,legendary,,,False,False
reinhardt-blackhardt,reinhardt-blackhardt,Blackhardt,skins,legendary,,,False,False
reinhardt-bloodhardt,reinhardt-bloodhardt,Bloodhardt,skins,legendary,,,False,False
reinhardt-greifhardt,reinhardt-greifhardt,Greifhardt,skins,legendary,,,False,False
reinhardt-lionhardt,reinhardt-lionhardt,Lionhardt,skins,legendary,,,False,False
reinhardt-stonehardt,reinhardt-stonehardt,Stonehardt,skins,legendary,,,False,False
reinhardt-wujing,reinhardt-wujing,Wujing,skins,legendary,YEAR_OF_THE_ROOSTER_2017,,False,False
reinhardt-barrier,reinhardt-barrier,Barrier,sprays,common,,,False,False
reinhardt-charge,reinhardt-charge,Charge,sprays,common,,,False,False
reinhardt-cracks,reinhardt-cracks,Cracks,sprays,common,,,False,False
reinhardt-crusader,reinhardt-crusader,Crusader,sprays,common,,,False,False
reinhardt-earthshatter,reinhardt-earthshatter,Earthshatter,sprays,common,,,False,False
reinhardt-emblem,reinhardt-emblem,Emblem,sprays,common,,,False,False
reinhardt-fire-strike,reinhardt-fire-strike,Fire Strike,sprays,common,,,False,False
reinhardt-glorious,reinhardt-glorious,Glorious,sprays,common,,,False,False
reinhardt-hammer-down,reinhardt-hammer-down,Hammer Down,sprays,common,,,False,False
reinhardt-helm,reinhardt-helm,Helm,sprays,common,,,False,False
reinhardt-honor,reinhardt-honor,Honor,sprays,common,,,False,False
reinhardt-icon,reinhardt-icon,Icon,sprays,common,,,False,False
reinhardt-knight,reinhardt-knight,Knight,sprays,common,,,False,False
reinhardt-lion,reinhardt-lion,Lion,sprays,common,,,False,False
reinhardt-roar,reinhardt-roar,Roar,sprays,common,,,False,False
reinhardt-royal,reinhardt-royal,Royal,sprays,common,,,False,False
reinhardt-shield-up,reinhardt-shield-up,Shield Up,sprays,common,,,False,False
reinhardt-stein,reinhardt-stein,Stein,sprays,common,,,False,False
reinhardt-swing,reinhardt-swing,Swing,sprays,common,,,False,False
reinhardt-vigilant,reinhardt-vigilant,Vigilant,sprays,common,,,False,False
reinhardt-white,reinhardt-white,White,sprays,common,,,False,False
reinhardt-wilhelm,reinhardt-wilhelm,Wilhelm,sprays,common,,,False,False
reinhardt-wrestle,reinhardt-wrestle,Wrestle,sprays,common,,,False,False
reinhardt-wrestling,reinhardt-wrestling,Wrestling,sprays,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
reinhardt-trick-or-treat,reinhardt-trick-or-treat,Trick or Treat,sprays,common,HALLOWEEN,HALLOWEEN_2016,False,False
reinhardt-ice-fishing,reinhardt-ice-fishing,Ice Fishing,sprays,common,WINTER_WONDERLAND_2016,,False,False
reinhardt-ornament,reinhardt-ornament,Ornament,sprays,common,WINTER_WONDERLAND_2016,,False,False
reinhardt-dragon-dance,reinhardt-dragon-dance,Dragon Dance,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
reinhardt-lion-dance,reinhardt-lion-dance,Lion Dance,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
reinhardt-poster,reinhardt-poster,Poster,sprays,common,UPRISING_2017,,False,False
reinhardt-king-of-hearts,reinhardt-king-of-hearts,King of Hearts,sprays,common,ANNIVERSARY_2017,,False,False
reinhardt-cute,reinhardt-cute,Cute,sprays,common,,,False,False
reinhardt-pixel,reinhardt-pixel,Pixel,sprays,common,,,False,False
reinhardt-heroic,reinhardt-heroic,Heroic,intros,common,,,True,False
reinhardt-charge,reinhardt-charge,CHARGE,intros,epic,,,False,False
reinhardt-hammer-down,reinhardt-hammer-down,Hammer Down,intros,epic,,,False,False
reinhardt-more-stretching-required,reinhardt-more-stretching-required,More stretching required,intros,epic,,,False,False
reinhardt-heroic,reinhardt-heroic,Heroic,poses,common,,,True,False
reinhardt-confident,reinhardt-confident,Confident,poses,rare,,,False,False
reinhardt-flex,reinhardt-flex,Flex,poses,rare,,,False,False
reinhardt-legendary,reinhardt-legendary,Legendary,poses,rare,,,False,False
reinhardt-rip,reinhardt-rip,R.I.P.,poses,rare,HALLOWEEN,HALLOWEEN_2016,False,False
reinhardt-toast,reinhardt-toast,Toast,poses,rare,WINTER_WONDERLAND_2016,,False,False
lucio-to-the-rhythm,lucio-to-the-rhythm,To the rhythm,voicelines,common,,,True,False
lucio-cant-stop-wont-stop,lucio-cant-stop-wont-stop,"Can't stop, won't stop",voicelines,common,,,False,False
lucio-hit-me,lucio-hit-me,Hit me!,voicelines,common,,,False,False
lucio-i-could-do-this-all-day,lucio-i-could-do-this-all-day,I could do this all day,voicelines,common,,,False,False
lucio-im-on-top-of-the-world,lucio-im-on-top-of-the-world,I'm on top of the world,voicelines,common,,,False,False
lucio-jackpot,lucio-jackpot,Jackpot!,voicelines,common,,,False,False
lucio-not-hearing-that-noise,lucio-not-hearing-that-noise,Not hearing that noise,voicelines,common,,,False,False
lucio-oh-yeah,lucio-oh-yeah,"Oh, yeah!",voicelines,common,,,False,False
lucio-tinnitus,lucio-tinnitus,Tinnitus,voicelines,common,,,False,False
lucio-why-are-you-so-angry,lucio-why-are-you-so-angry,Why are you so angry?,voicelines,common,,,False,False
lucio-you-gotta-believe,lucio-you-gotta-believe,You gotta believe!,voicelines,common,,,False,False
lucio-be-champions,lucio-be-champions,Be champions,voicelines,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
lucio-killed-it,lucio-killed-it,Killed it!,voicelines,common,HALLOWEEN,HALLOWEEN_2016,False,False
lucio-happy-holidays,lucio-happy-holidays,Happy holidays!,voicelines,common,WINTER_WONDERLAND_2016,,False,False
lucio-i-make-this-look-good,lucio-i-make-this-look-good,I make this look good...,voicelines,common,YEAR_OF_THE_ROOSTER_2017,,False,False
lucio-boop,lucio-boop,Boop,voicelines,common,UPRISING_2017,,False,False
lucio-learn-to-take-it-easy,lucio-learn-to-take-it-easy,Learn to take it easy,voicelines,common,UPRISING_2017,,False,False
lucio-everyone-gets-their-1,lucio-everyone-gets-their-1,Everyone gets their +1,voicelines,common,ANNIVERSARY_2017,,False,False
lucio-have-some-lucioohs,lucio-have-some-lucioohs,Have some Lúcio-oh's!,voicelines,common,ANNIVERSARY_2017,,False,False
lucio-suboptimal,lucio-suboptimal,Suboptimal,voicelines,common,SUMMER_GAMES,,False,True
lucio-so-good-its-scary,lucio-so-good-its-scary,So good it's scary!,voicelines,common,HALLOWEEN,,False,True
lucio-frog,lucio-frog,Frog,icons,,,,False,False
lucio-kambo,lucio-kambo,Kambô,icons,,,,False,False
lucio-lucio,lucio-lucio,Lúcio,icons,,,,False,False
lucio-football,lucio-football,Football,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
lucio-luciouro,lucio-luciouro,Lúciouro,icons,,ANNIVERSARY_2017,,False,False
lucio-heroic,lucio-heroic,Heroic,emotes,common,,,True,False
lucio-capoeira,lucio-capoeira,Capoeira,emotes,epic,,,False,False
lucio-chilling,lucio-chilling,Chilling,emotes,epic,,,False,False
lucio-in-the-groove,lucio-in-the-groove,In the Groove,emotes,epic,,,False,False
lucio-knee-slapper,lucio-knee-slapper,Knee Slapper,emotes,epic,,,False,False
lucio-nah,lucio-nah,Nah!,emotes,epic,,,False,False
lucio-juggle,lucio-juggle,Juggle,emotes,epic,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
lucio-smooth,lucio-smooth,Smooth,emotes,epic,ANNIVERSARY_2017,,False,False
lucio-classic,lucio-classic,Classic,skins,common,,,True,False
lucio-azul,lucio-azul,Azul,skins,rare,,,False,False
lucio-laranja,lucio-laranja,Laranja,skins,rare,,,False,False
lucio-roxo,lucio-roxo,Roxo,skins,rare,,,False,False
lucio-vermelho,lucio-vermelho,Vermelho,skins,rare,,,False,False
lucio-auditiva,lucio-auditiva,Auditiva,skins,epic,,,False,False
lucio-synaesthesia,lucio-synaesthesia,Synaesthesia,skins,epic,,,False,False
lucio-andes,lucio-andes,Andes,skins,epic,WINTER_WONDERLAND_2016,,False,False
lucio-breakaway,lucio-breakaway,Breakaway,skins,legendary,,,False,False
lucio-hippityhop,lucio-hippityhop,Hippityhop,skins,legendary,,,False,False
lucio-ribbit,lucio-ribbit,Ribbit,skins,legendary,,,False,False
lucio-slapshot,lucio-slapshot,Slapshot,skins,legendary,,,False,False
lucio-selecao,lucio-selecao,Seleção,skins,legendary,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
lucio-striker,lucio-striker,Striker,skins,legendary,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
lucio-jazzy,lucio-jazzy,Jazzy,skins,legendary,ANNIVERSARY_2017,,False,False
lucio-acelerar,lucio-acelerar,Acelerar,sprays,common,,,False,False
lucio-baixo,lucio-baixo,Baixo,sprays,common,,,False,False
lucio-bass,lucio-bass,Bass,sprays,common,,,False,False
lucio-break-it-down,lucio-break-it-down,Break It Down,sprays,common,,,False,False
lucio-cereal,lucio-cereal,Cereal,sprays,common,,,False,False
lucio-confident,lucio-confident,Confident,sprays,common,,,False,False
lucio-deck,lucio-deck,Deck,sprays,common,,,False,False
lucio-frog,lucio-frog,Frog,sprays,common,,,False,False
lucio-grin,lucio-grin,Grin,sprays,common,,,False,False
lucio-hero,lucio-hero,Hero,sprays,common,,,False,False
lucio-icon,lucio-icon,Icon,sprays,common,,,False,False
lucio-in-concert,lucio-in-concert,In Concert,sprays,common,,,False,False
lucio-kambo,lucio-kambo,Kambô,sprays,common,,,False,False
lucio-mural,lucio-mural,Mural,sprays,common,,,False,False
lucio-scratch,lucio-scratch,Scratch,sprays,common,,,False,False
lucio-signature,lucio-signature,Signature,sprays,common,,,False,False
lucio-spin,lucio-spin,Spin,sprays,common,,,False,False
lucio-tag,lucio-tag,Tag,sprays,common,,,False,False
lucio-triplo,lucio-triplo,Triplo,sprays,common,,,False,False
lucio-under-control,lucio-under-control,Under Control,sprays,common,,,False,False
lucio-vinyl,lucio-vinyl,Vinyl,sprays,common,,,False,False
lucio-walk-of-fame,lucio-walk-of-fame,Walk of Fame,sprays,common,,,False,False
lucio-wave,lucio-wave,Wave,sprays,common,,,False,False
lucio-football,lucio-football,Football,sprays,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
lucio-trick-or-treat,lucio-trick-or-treat,Trick or Treat,sprays,common,HALLOWEEN,HALLOWEEN_2016,False,False
lucio-hockey,lucio-hockey,Hockey,sprays,common,WINTER_WONDERLAND_2016,,False,False
lucio-ornament,lucio-ornament,Ornament,sprays,common,WINTER_WONDERLAND_2016,,False,False
lucio-dragon-dance,lucio-dragon-dance,Dragon Dance,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
lucio-keep-ups,lucio-keep-ups,Keep Ups,sprays,common,YEAR_OF_THE_ROOSTER_2017,,False,False
lucio-skates,lucio-skates,Skates,sprays,common,UPRISING_2017,,False,False
lucio-jack-of-diamonds,lucio-jack-of-diamonds,Jack of Diamonds,sprays,common,ANNIVERSARY_2017,,False,False
lucio-cute,lucio-cute,Cute,sprays,common,,,False,False
lucio-pixel,lucio-pixel,Pixel,sprays,common,,,False,False
lucio-heroic,lucio-heroic,Heroic,intros,common,,,True,False
lucio-drop-the-beat,lucio-drop-the-beat,Drop the beat,intros,epic,,,False,False
lucio-freestyle,lucio-freestyle,Freestyle,intros,epic,,,False,False
lucio-in-the-groove,lucio-in-the-groove,In the Groove,intros,epic,,,False,False
lucio-bicycle-kick,lucio-bicycle-kick,Bicycle Kick,intros,epic,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
lucio-heroic,lucio-heroic,Heroic,poses,common,,,True,False
lucio-confident,lucio-confident,Confident,poses,rare,,,False,False
lucio-grooving,lucio-grooving,Grooving,poses,rare,,,False,False
lucio-ready-for-action,lucio-ready-for-action,Ready for Action,poses,rare,,,False,False
lucio-rip,lucio-rip,R.I.P.,poses,rare,HALLOWEEN,HALLOWEEN_2016,False,False
lucio-handstand,lucio-handstand,Handstand,poses,rare,UPRISING_2017,,False,False
lucio-pumpkin-control,lucio-pumpkin-control,Pumpkin Control,poses,rare,HALLOWEEN,,False,True
zarya-strong-as-the-mountain,zarya-strong-as-the-mountain,Strong as the mountain,voicelines,common,,,True,False
zarya-get-down-give-me-20,zarya-get-down-give-me-20,"Get down, give me 20",voicelines,common,,,False,False
zarya-i-am-mother-russia,zarya-i-am-mother-russia,I am Mother Russia,voicelines,common,,,False,False
zarya-i-can-bench-more-than-you,zarya-i-can-bench-more-than-you,I can bench more than you,voicelines,common,,,False,False
zarya-i-will-break-you,zarya-i-will-break-you,I will break you,voicelines,common,,,False,False
zarya-in-russia-game-plays-you,zarya-in-russia-game-plays-you,"In Russia, game plays you",voicelines,common,,,False,False
zarya-need-personal-training,zarya-need-personal-training,Need personal training?,voicelines,common,,,False,False
zarya-no-mercy,zarya-no-mercy,No mercy,voicelines,common,,,False,False
zarya-siberian-bear,zarya-siberian-bear,Siberian bear,voicelines,common,,,False,False
zarya-together-we-are-strong,zarya-together-we-are-strong,Together we are strong,voicelines,common,,,False,False
zarya-welcome-to-the-gun-show,zarya-welcome-to-the-gun-show,Welcome to the gun show,voicelines,common,,,False,False
zarya-no-pain-no-gain,zarya-no-pain-no-gain,"No pain, no gain",voicelines,common,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
zarya-never-forget-the-fallen,zarya-never-forget-the-fallen,Never forget the fallen,voicelines,common,HALLOWEEN,HALLOWEEN_2016,False,False
zarya-for-the-motherland,zarya-for-the-motherland,For the Motherland,voicelines,common,WINTER_WONDERLAND_2016,,False,False
zarya-get-pumped,zarya-get-pumped,Get pumped,voicelines,common,YEAR_OF_THE_ROOSTER_2017,,False,False
zarya-i-was-born-in-battle,zarya-i-was-born-in-battle,I was born in battle,voicelines,common,UPRISING_2017,,False,False
zarya-ready-to-give-up,zarya-ready-to-give-up,Ready to give up?,voicelines,common,UPRISING_2017,,False,False
zarya-is-that-all,zarya-is-that-all,Is that all?,voicelines,common,ANNIVERSARY_2017,,False,False
zarya-peace-through-firepower,zarya-peace-through-firepower,Peace through firepower,voicelines,common,ANNIVERSARY_2017,,False,False
zarya-its-only-a-game,zarya-its-only-a-game,It's only a game,voicelines,common,SUMMER_GAMES,,False,True
zarya-dont-be-scared,zarya-dont-be-scared,Don't be scared,voicelines,common,HALLOWEEN,,False,True
zarya-512,zarya-512,512,icons,,,,False,False
zarya-particle-barrier,zarya-particle-barrier,Particle Barrier,icons,,,,False,False
zarya-zarya,zarya-zarya,Zarya,icons,,,,False,False
zarya-weightlifting,zarya-weightlifting,Weightlifting,icons,,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
zarya-zaryanoversary,zarya-zaryanoversary,Zaryanoversary,icons,,ANNIVERSARY_2017,,False,False
zarya-totally-80s,zarya-totally-80s,Totally 80's,icons,,HALLOWEEN,,False,True
zarya-heroic,zarya-heroic,Heroic,emotes,common,,,True,False
zarya-bring-it-on,zarya-bring-it-on,Bring It On,emotes,epic,,,False,False
zarya-comedy-gold,zarya-comedy-gold,Comedy gold,emotes,epic,,,False,False
zarya-crush-you,zarya-crush-you,Crush You,emotes,epic,,,False,False
zarya-pumping-iron,zarya-pumping-iron,Pumping Iron,emotes,epic,,,False,False
zarya-take-a-knee,zarya-take-a-knee,Take a Knee,emotes,epic,,,False,False
zarya-dance,zarya-dance,Dance,emotes,epic,ANNIVERSARY_2017,,False,False
zarya-mystery-gift,zarya-mystery-gift,Mystery Gift,emotes,legendary,WINTER_WONDERLAND_2016,,False,False
zarya-classic,zarya-classic,Classic,skins,common,,,True,False
zarya-brick,zarya-brick,Brick,skins,rare,,,False,False
zarya-goldenrod,zarya-goldenrod,Goldenrod,skins,rare,,,False,False
zarya-taiga,zarya-taiga,Taiga,skins,rare,,,False,False
zarya-violet,zarya-violet,Violet,skins,rare,,,False,False
zarya-dawn,zarya-dawn,Dawn,skins,epic,,,False,False
zarya-midnight,zarya-midnight,Midnight,skins,epic,,,False,False
zarya-frosted,zarya-frosted,Frosted,skins,epic,WINTER_WONDERLAND_2016,,False,False
zarya-arctic,zarya-arctic,Arctic,skins,legendary,,,False,False
zarya-cybergoth,zarya-cybergoth,Cybergoth,skins,legendary,,,False,False
zarya-industrial,zarya-industrial,Industrial,skins,legendary,,,False,False
zarya-siberian-front,zarya-siberian-front,Siberian Front,skins,legendary,,,False,False
zarya-champion,zarya-champion,Champion,skins,legendary,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
zarya-weightlifter,zarya-weightlifter,Weightlifter,skins,legendary,SUMMER_GAMES,SUMMER_GAMES_2016,False,False
zarya-cyberian,zarya-cyberian,Cyberian,skins,legendary,ANNIVERSARY_2017,,False,False
zarya-totally-80s,zarya-totally-80s,Totally 80's,skins,legendary,HALLOWEEN,,False,True
zarya-512,zarya-512,512,sprays,common,,,False,False
zarya-alexandra,zarya-alexandra,Alexandra,sprays,common,,,False,False
zarya-avenger,zarya-avenger,Avenger,sprays,common,,,False,False
zarya-barrier,zarya-barrier,Barrier,sprays,common,,,False,False
zarya-bear,zarya-bear,Bear,sprays,common,,,False,False
zarya-cannon,zarya-cannon,Cannon,sprays,common,,,False,False
zarya-champion,zarya-champion,Champion,sprays,common,,,False,False
zarya-defender,zarya-defender,Defender,sprays,common,,,False,False
zarya-focused,zarya-focused,Focused,sprays,common,,,False,False
zarya-for-the-people,zarya-for-the-people,For the People,sprays,common,,,False,False
zarya-gun-show,zarya-gun-show,Gun Show,sprays,common,,,False,False
zarya-icon,zarya-icon,Icon,sprays,common,,,False,False
zarya-lift,zarya-lift,Lift,sprays,common,,,False,False
